"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1910623017413337417","Fri Apr 11 22:14:09 +0000 2025","0","@mamadupaa Kabur aja dulu ga si pril wkwkwkw","1910818680382075134","","mamadupaa","in","Banyuwangi, Jawa Timur","0","0","0","https://x.com/wiaindra/status/1910818680382075134","1328150747519668224","wiaindra"
"1910490443525345298","Fri Apr 11 21:12:41 +0000 2025","0","@renegxade Nah ini latah fomo pengen kabur aja dulu tp ga riset dll krn keblinger eh malah jadi korban human trafficking","1910803213055647797","","renegxade","in","","0","0","0","https://x.com/zipper_clutch/status/1910803213055647797","1575369122505900032","zipper_clutch"
"1910274134476796085","Fri Apr 11 10:09:44 +0000 2025","0","@urbarcelet @sparklestarrr Kabur aja dulu","1910636374644187336","","urbarcelet","in","purwokerto","0","0","0","https://x.com/letmetosleep/status/1910636374644187336","346429457","letmetosleep"
"1910630440433864764","Fri Apr 11 09:46:09 +0000 2025","0","Ini bagian dari Kabur aja dulu https://t.co/rroNc5KlCc","1910630440433864764","https://pbs.twimg.com/media/GoPsQEsaMAABwLh.jpg","","in","Kota Medan, Sumatera Utara","0","0","0","https://x.com/Hutab3Hutab/status/1910630440433864764","1483166738565201920","Hutab3Hutab"
"1910627993577545799","Fri Apr 11 09:36:26 +0000 2025","0","gue dulu pernah join go trs pesen pc tapi ga dp karena emang dealnya sekalian di akhir. terus ternyata owner nya bilang kalo pc yg dipesen KETUMPAHAN FANTA dan dia mau promoin setengah harga. galama setelah itu ownernya kabur. untung aja gue blm bayar apa apa ","1910627993577545799","","","in","Hazel Reize 🥧","0","0","0","https://x.com/527diaries/status/1910627993577545799","902574036122615808","527diaries"
"1910326152058871827","Fri Apr 11 09:35:21 +0000 2025","0","@ZulkifliLubis69 @UGMYogyakarta KABUR AJA DULU‼️","1910627724038906011","","ZulkifliLubis69","in","Bintuni, Papua, Indonesia","0","0","0","https://x.com/richard_tram/status/1910627724038906011","1312367832722669570","richard_tram"
"1910588677174026555","Fri Apr 11 09:06:58 +0000 2025","0","@huitamsatu @sbyfess oyennya aku bawa kabur aja dulu ya kalo udh rame aku balikin","1910620581848113476","","huitamsatu","in","","0","1","0","https://x.com/yvtsrindira/status/1910620581848113476","1352205691029622786","yvtsrindira"
"1910519208343187555","Fri Apr 11 08:46:46 +0000 2025","0","@HeryIdris5 orang2 muda generasi palestine lebih banyak berjuang # memillih menjadi suhada di negeri nya sendiri dari pada #kabur dulu aja maka tindakan @prabowo bukan bentuk untuk kemanusiaan melainkan hanya ARTpesuruh yg ter 'gencet 2 adi kuasa( USA vs RRC)","1910615496858472589","","HeryIdris5","in","DKI Jakarta, Indonesia","0","0","0","https://x.com/onorus7940/status/1910615496858472589","1697498119746072576","onorus7940"
"1910585764829946384","Fri Apr 11 07:20:06 +0000 2025","0","@homeiswoon emang paling bener kabur aja dulu mir..","1910593683986276858","","homeiswoon","in","ddingdongz ⋆","0","1","0","https://x.com/lieudejoie/status/1910593683986276858","1522752856889167877","lieudejoie"
"1910545455848776050","Fri Apr 11 07:19:32 +0000 2025","2","@OconXReborn @kompascom @ebonXboy Kabur aja dulu ya","1910593544550805539","","OconXReborn","in","","0","0","0","https://x.com/BebySoSweet/status/1910593544550805539","1708495620376571904","BebySoSweet"
